content,label,sender,is_url,is_phone,pred_label,correct,confidence,raw_ai_score,domain_risk,phase,reason,error_type
ĐN – Telegram: D-a N-a-n-g-T-e-l-e: E-m s-i-n-h v-i-e-n D-u-y T-a-n c-a-n t-i-m b-a-n t-r-a-i. t.me/dn_duytan_sv hU2,1,personal_number,1,0,0,False,0.25,0.8688,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"4m4z0n c4n tuy3n nh4n v13n g4p. Lu0ng 500k-3tr/ng4y. L4m t41 nh4, tu01 23-60. Z4l0: zalo.me/84905678901 Z4l0: 84905678901",1,personal_number,1,1,0,False,0.25,0.9887,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
ĐN – Telegram. S-i-n-h v-i-e-n n-g-h-e-o c-a-n t-i-e-n t-r-a-n-g t-r-a-i. G-i-u-p e-m v-o-i. t.me/dn_help_sv vB3m,1,personal_number,1,0,0,False,0.25,0.954,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
BHXH VN: 0ng (B4) da du d!eu k1en nh4n t1en h0 tr0 tu quy BHTN. B4m v40 www.poiuy.icu. QUA HAN SE KH0NG DU0C CHAP NHAN! bH7n,1,personal_number,1,0,1,True,1.0,0.9883,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
D!ch_vu-G@i-g0i_H@ng-s@ng_HCM – Zalo: bit.ly/hcm_luxury_33 K9vL,1,personal_number,1,0,1,True,1.0,0.9881,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
C4nh s4t G140 th0ng: Ph4t ngu01 xe b13n s0 51A-xxxx. Tra cuu t4i: phatnguoi-vn.top,1,brandname,1,0,1,True,1.0,0.5388,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
Ban da dat cho tai xe Limousine chuyen HN-HP luc 8h sang mai. SDT tai xe: 0987654321.,0,personal_number,0,1,1,False,0.6026,0.6026,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,FP_ai_false_alarm
D:i:c:h_V:u_v:u:i_v;e_Đ:N_T;e;I;e;G;r;a;M: t.me/dn_dich_vu_vui_99 Qz4M,1,personal_number,1,0,0,False,0.25,0.9579,0.0,Conversation Guard,Cảnh báo mức thấp: AI nghi ngờ nhưng văn phong mang tính hội thoại cá nhân.,FN_no_url
"[QC] VIETTEL CHÀO LỄ 20/11: Tặng 20% giá trị thẻ nạp duy nhất trong ngày hôm nay cho tất cả thuê bao trả trước. Tiền KM dùng liên mạng trong 15 ngày. Nạp ngay tại https://viettel.vn/pay. Tu choi QC, soan TC gui 199.",0,brandname,1,0,0,True,0.0,0.0084,-1.0,Authority Whitelist,An toàn: Tên miền chính chủ đã được xác thực (Whitelisted Domain (viettel.vn)).,CORRECT
Tiki: Don hang TKI-1029384756 cua ban da duoc thanh toan thanh cong qua vi Momo. Du kien giao ngay mai.,0,brandname,0,0,1,False,0.5751,0.5751,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,FP_ai_false_alarm
[VCB] Điểm thưởng VCB Rewards sẽ hết hạn vào 31/12. Quý khách hãy đổi điểm lấy phí duy trì dịch vụ trên app VCB Digibank.,0,shortcode,0,0,1,False,0.6,0.0803,0.0,Keyword Trigger,Cảnh báo: Nội dung chứa các từ khóa rủi ro cao (Tài chính/Giả danh) cần xác minh.,FP_other
[TCTHUE] Thong bao nang cap he thong Khai thue qua mang iHTKK phien ban moi. Nguoi nop thue vui long tai bo cai tai thuedientu.gdt.gov.vn,0,brandname,1,0,1,False,1.0,0.2685,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,FP_other
Chuy3n kh04n v4o STK 1029384756-BIDV. T3n: CONG TY TNHH DAU TU TAI CHINH THU DO d3 kich hoat go1 d4u tu.,1,personal_number,0,0,1,True,0.9769,0.9769,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,CORRECT
Tiki: Don hang TKI-1029384756 cua ban dang duoc Tiki chuan bi hang. Chung toi se thong bao khi hang bat dau duoc giao.,0,brandname,0,0,1,False,0.6191,0.6191,0.0,AI Detection,Cảnh báo: AI phát hiện cấu trúc văn bản thường thấy trong tin nhắn rác/lừa đảo.,FP_ai_false_alarm
"8DAY KM: N4p 100k nh4n 300k. 1 v0ng cu0c rut M4XX 5.000k. N0 Hu, B4n C4. DK: t.ly/pL8j3 rStUv",1,personal_number,1,0,1,True,1.0,0.9934,1.0,Domain Risk,CẢNH BÁO CAO: Phát hiện liên kết độc hại hoặc bị làm nhiễu (URL Suspicious (Failed Search/Source Check)).,CORRECT
